 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2023                                                               18.     18.     18.     18.     18.
2024       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2025       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2026       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2027       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
   1  SUDESTE               ANDE
2023                                                             1831.   1772.   1706.   1958.   2534.
2024     2689.   2420.   2119.   1758.   1693.   1747.   1855.   1792.   1752.   1792.   2056.   2661.
2025     2824.   2632.   2225.   1845.   1777.   1834.   1948.   1882.   1840.   1881.   2159.   2794.
2026     2965.   2763.   2336.   1938.   1866.   1926.   2046.   1976.   1932.   1975.   2267.   2934.
2027     3113.   2901.   2453.   2035.   1960.   2022.   2148.   2075.   2028.   2074.   2380.   3080.
POS      3113.   2901.   2453.   2035.   1960.   2022.   2148.   2075.   2028.   2074.   2380.   3080.
   1  SUDESTE            MMGD SE
2023                                                             2046.   1932.   1622.   1557.   1619.
2024     1603.   1723.   1644.   1657.   1545.   1518.   1558.   1754.   1650.   1622.   1557.   1619.
2025     1603.   1723.   1644.   1657.   1545.   1518.   1558.   1754.   1650.   1622.   1557.   1619.
2026     1603.   1723.   1644.   1657.   1545.   1518.   1558.   1754.   1650.   1622.   1557.   1619.
2027     1603.   1723.   1644.   1657.   1545.   1518.   1558.   1754.   1650.   1622.   1557.   1619.
POS      1603.   1723.   1644.   1657.   1545.   1518.   1558.   1754.   1650.   1622.   1557.   1619.
   2      SUL             MMGD S
2023                                                              883.    837.    747.    833.    844.
2024      830.    835.    812.    746.    633.    574.    611.    719.    680.    747.    833.    844.
2025      830.    835.    812.    746.    633.    574.    611.    719.    680.    747.    833.    844.
2026      830.    835.    812.    746.    633.    574.    611.    719.    680.    747.    833.    844.
2027      830.    835.    812.    746.    633.    574.    611.    719.    680.    747.    833.    844.
POS       830.    835.    812.    746.    633.    574.    611.    719.    680.    747.    833.    844.
   3 NORDESTE            MMGD NE
2023                                                              701.    744.    631.    624.    604.
2024      590.    602.    607.    563.    534.    515.    536.    596.    634.    631.    624.    604.
2025      590.    602.    607.    563.    534.    515.    536.    596.    634.    631.    624.    604.
2026      590.    602.    607.    563.    534.    515.    536.    596.    634.    631.    624.    604.
2027      590.    602.    607.    563.    534.    515.    536.    596.    634.    631.    624.    604.
POS       590.    602.    607.    563.    534.    515.    536.    596.    634.    631.    624.    604.
   4    NORTE          BOA VISTA
2023                                                                0.      0.      0.      0.      0.
2024        0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.
2025        0.      0.      0.      0.      0.      0.      0.      0.      0.    180.    175.    172.
2026      173.    181.    172.    173.    157.    153.    149.    156.    177.    185.    180.    177.
2027      178.    186.    176.    178.    161.    157.    153.    160.    181.    190.    185.    181.
POS       178.    186.    176.    178.    161.    157.    153.    160.    181.    190.    185.    181.
   4    NORTE             MMGD N
2023                                                              269.    264.    220.    208.    196.
2024      191.    195.    196.    199.    205.    217.    222.    240.    235.    220.    208.    196.
2025      191.    195.    196.    199.    205.    217.    222.    240.    235.    220.    208.    196.
2026      191.    195.    196.    199.    205.    217.    222.    240.    235.    220.    208.    196.
2027      191.    195.    196.    199.    205.    217.    222.    240.    235.    220.    208.    196.
POS       191.    195.    196.    199.    205.    217.    222.    240.    235.    220.    208.    196.
 999
