EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
13ELENUCLEAR       1ANGRA 1           1 21102023  53    640.00
13ELENUCLEAR      13ANGRA 2           1 01102023   7   1350.00
68PETROBRAS       97CUBATAO           1 04112023  27    166.13
92TERNIUM         65DO ATLAN_CSA      1 10112023   8    254.80
92TERNIUM         65DO ATLAN_CSA      1 01122023   7    254.80
68PETROBRAS       63IBIRITE           1 27112023  31    161.00
68PETROBRAS       63IBIRITE           2 27112023  31     74.00
30KARKEY KARA    245KARKEY 013        2 02112023   1     20.22
30KARKEY KARA    245KARKEY 013        3 02112023   1     20.22
30KARKEY KARA    245KARKEY 013        4 03112023   1     20.22
30KARKEY KARA    245KARKEY 013        5 02102023   1     20.22
30KARKEY KARA    245KARKEY 013        6 03102023   1     20.22
30KARKEY KARA    245KARKEY 013        7 04112023   1     20.22
30KARKEY KARA    245KARKEY 013        8 03112023   1     20.22
30KARKEY KARA    245KARKEY 013        9 04112023   1     20.22
30KARKEY KARA    245KARKEY 013       10 05112023   1     20.22
30KARKEY KARA    245KARKEY 013       11 04102023   1     20.22
30KARKEY KARA    245KARKEY 013       12 06112023   1     20.22
30KARKEY KARA    246KARKEY 019        1 01112023   1     18.32
30KARKEY KARA    246KARKEY 019        2 03112023   1     18.32
30KARKEY KARA    246KARKEY 019        3 05102023   1     18.32
30KARKEY KARA    246KARKEY 019        4 07112023   1     18.32
30KARKEY KARA    246KARKEY 019        5 09112023   1     18.32
30KARKEY KARA    246KARKEY 019        6 11102023   1     18.32
19LINHARES       247LINHARES PCS      1 14112023   2      9.00
19LINHARES       247LINHARES PCS      2 22112023   2      9.00
19LINHARES       247LINHARES PCS      3 30112023   2      9.00
19LINHARES       247LINHARES PCS      4 08122023   2      9.00
68PETROBRAS      110N.PIRATININGA     1 02102023   5     96.41
20DIFERENCIAL    249PORSUD I          1 10102023   6     19.32
20DIFERENCIAL    249PORSUD I          2 02102023   1     19.32
20DIFERENCIAL    249PORSUD I          3 12122023   6     19.32
20DIFERENCIAL    249PORSUD I          4 05102023   1     19.32
20DIFERENCIAL    249PORSUD I          5 20112023   6     19.32
20DIFERENCIAL    249PORSUD I          6 06122023   1     19.32
20DIFERENCIAL    250PORSUD II         1 02102023   1     18.08
20DIFERENCIAL    250PORSUD II         2 03102023   1     18.08
20DIFERENCIAL    250PORSUD II         3 04102023   1     18.08
20DIFERENCIAL    250PORSUD II         4 05102023   1     18.08
20DIFERENCIAL    250PORSUD II         5 06102023   1      6.00
30POVOACAO SA    251POVOACAO 1        1 24112023   2      9.37
30POVOACAO SA    251POVOACAO 1        2 02122023   2      9.37
30POVOACAO SA    251POVOACAO 1        3 10122023   2      9.37
30POVOACAO SA    251POVOACAO 1        4 18122023   2      9.37
30POVOACAO SA    251POVOACAO 1        5 01102023   2      9.37
30POVOACAO SA    251POVOACAO 1        5 26122023   2      9.37
30POVOACAO SA    251POVOACAO 1        6 09102023   2      9.37
30POVOACAO SA    251POVOACAO 1        7 17102023   2      9.37
30POVOACAO SA    251POVOACAO 1        8 25102023   2      9.37
