NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
   1 ANGRA 1        640. 100.    2.06   8.77   0.00   0.00   0.00   0.00   0.00   0.00   0.00 639.99 639.99 404.42 000.00 384.17 509.82
  13 ANGRA 2       1350. 100.    2.36  13.87   0.00   0.00   0.00   0.00   0.00   0.00   0.00 1350.0 393.72 1020.5 1080.0 1080.0 1080.0
 211 BAIXADA FLU    530. 100.   10.83   7.77   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 256 CIDADE LIVRO     0. 100.    2.50   5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  97 CUBATAO        216. 100.   11.99  10.49   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 086.40 058.51 086.40 000.00
  12 CUIABA G CC    529. 100.    8.75  13.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 153 DAIA            44. 100.    2.99  12.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  65 DO ATLAN_CSA   255.  93.    0.66   3.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00 067.79 146.47 235.39 172.61 182.24 226.09
 183 DO_ATLANTICO   235.  93.    0.66   3.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00 163.73 218.68 201.50 201.50 201.50 201.50
 137 GNA I         1338. 100.    5.34   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 238 GNA II           0. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 155 GOIANIA II     140. 100.   39.96  10.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  63 IBIRITE        235. 100.    3.20   9.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  54 JUIZ DE FORA    87. 100.    6.84   3.56   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 245 KARKEY 013     259. 100.    0.99   3.55   0.00   0.00   0.00   0.00   0.00   0.00   0.00 031.00 031.00 048.98 048.98 048.98 000.00
 246 KARKEY 019     116. 100.    0.95   2.85   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 110.43 011.04 011.04 000.00
  15 LINHARES       204. 100.    2.35   1.99   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 257 LINHARES LRC     0. 100.    2.19   1.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 247 LINHARES PCS    36. 100.    2.33   1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00 034.60 034.60 034.57 033.68 034.30 000.00
 236 MARLIM AZUL      0. 100.    5.00   5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 420.84 420.84 000.00
 110 N.PIRATINING   479.  97.    5.25  17.89   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 171 NORTEFLU-1     400. 100.    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 386.67 399.99 399.99 399.99 399.99
 172 NORTEFLU-2     100. 100.    4.78   8.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 173 NORTEFLU-3     200. 100.    4.78   8.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 174 NORTEFLU-4     127. 100.    4.78   8.91   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 229 ONCA PINTADA    50.  95.    2.84   4.49   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 182 PALMEIRAS GO   176.  80.   59.55  16.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 248 PAULINIA VER    16. 100.    0.71   0.73   0.00   0.00   0.00   0.00   0.00   0.00   0.00 015.66 015.69 015.62 015.62 015.62 000.00
  50 PIRAT.12 G     200. 100.    6.57  12.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 249 PORSUD I       116. 100.    0.95   3.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 250 PORSUD II       78. 100.    0.98   2.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 251 POVOACAO 1      75. 100.    2.37   1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00 072.00 072.00 070.81 071.98 070.81 000.00
 230 PREDILECTA       5. 100.    0.87   5.31   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
