 NUM  NOME         POSTO JUS   REE V.INIC U.EXIS MODIF INIC.HIST FIM HIST
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX
    4 FUNIL-GRANDE  211     6   10   0.00   EX      1     1931     2019
   20 BATALHA        22    21   10  22.40   EX      1     1931     2019
   21 SERRA FACAO   251    24   10  25.50   EX      0     1931     2019
   27 CAPIM BRANC1  207    28   10  51.50   EX      1     1931     2019
   28 CAPIM BRANC2   28    31   10   0.00   EX      1     1931     2019
   29 CORUMBA IV    205   203   10  61.73   EX      0     1931     2019
   48 PIRAJU         48    49   12   0.00   EX      0     1931     2019
   66 ITAIPU         66     0    5   0.00   EX      0     1931     2019
  131 NILO PECANHA  131   133    1   0.00   EX      0     1931     2019
  132 FONTES        303   133    1   0.00   EX      1     1931     2019
  141 BAGUARI       141   143    1   0.00   EX      0     1931     2019
  153 SAO DOMINGOS  154    46   10   0.00   EX      0     1931     2019
  155 RETIRO BAIXO  155   156    1  14.67   EX      1     1931     2019
  156 TRES MARIAS   156     0    1  48.76   EX      1     1931     2019
  162 QUEIMADO      158     0    1  56.19   EX      1     1931     2019
  195 JAURU         295     0    1   0.00   EX      0     1931     2019
  196 GUAPORE       296   285    6   0.00   EX      0     1931     2019
  203 CORUMBA III    23    30   10  89.72   EX      0     1931     2019
  227 SINOP         227   228    7  62.72   EX      1     1931     2019
  228 COLIDER       228   229    7   0.00   EX      1     1931     2019
  229 TELES PIRES   229   230    7   0.00   EX      1     1931     2019
  230 SAO MANOEL    230     0    7   0.00   EX      0     1931     2019
  241 SLT VERDINHO  241    34   10   0.00   EX      0     1931     2019
  249 OURINHOS      249    50   12   0.00   EX      0     1931     2019
  251 SERRA MESA    270   252    1  28.92   EX      1     1931     2019
  252 CANA BRAVA    191   253    1   0.00   EX      1     1931     2019
  253 SAO SALVADOR  253   257    1   0.00   EX      1     1931     2019
  257 PEIXE ANGIC   257   261    1  49.30   EX      1     1931     2019
  261 LAJEADO       273     0    1   0.00   EX      1     1931     2019
  262 SALTO         294   241   10   0.00   EX      1     1931     2019
  276 RONDON II     145     0    6  45.60   EX      0     1931     2019
  281 PONTE PEDRA   281     0    1   0.00   EX      1     1931     2019
  285 JIRAU         285   287    6   0.00   EX      1     1931     2019
  287 STO ANTONIO   287     0    6   0.00   EX      1     1931     2019
  290 ESPORA         99    34   10  48.00   EX      0     1931     2019
  304 ITIQUIRA I    259   305    1   0.00   EX      0     1931     2019
  305 ITIQUIRA II   252     0    1   0.00   EX      1     1931     2019
  309 JURUENA       226     0    7   0.00   NE      0     1931     2019
  310 DARDANELOS    291     0    6   0.00   EX      0     1931     2019
  311 CACU          247   312   10  98.00   EX      1     1931     2019
  312 B. COQUEIROS  248   315   10   0.00   EX      1     1931     2019
  315 FOZ R. CLARO  261    34   10   0.00   EX      0     1931     2019
  319 FICT.MAUA      57    61   12  19.50   EX      1     1931     2019
  117 GUARAPIRANGA  117   118    1  52.95   EX      1     1931     2019
