VALORES CONSTANTE NO TEMPO
       ALF.x  LBD.x
        50.0   35.0
VALORES DE ALFA VARIAVEIS NO TEMPO
       JAN.X  FEV.X  MAR.X  ABR.X  MAI.X  JUN.X  JUL.X  AGO.X  SET.X  OUT.X  NOV.X  DEZ.X
 2021    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 2022    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 2023    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 2024    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 2025    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
POS      0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
VALORES DE LAMBDA VARIAVEIS NO TEMPO
       JAN.X  FEV.X  MAR.X  ABR.X  MAI.X  JUN.X  JUL.X  AGO.X  SET.X  OUT.X  NOV.X  DEZ.X
 2021   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
 2022   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
 2023   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
 2024   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
 2025   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
POS     10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
