NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
   1 POTEF   640.00  9 2021          ANGRA 1                                                                                                                                                            
   1 FCMAX   100.00  9 2021                                                                                                                                                                     
   1 GTMIN   640.00  9 2021 12 2021 
   1 GTMIN   557.87  1 2022 
   1 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
  13 POTEF  1350.00  9 2021          ANGRA 2                                                                                                                                                            
  13 FCMAX   100.00  9 2021                                                                                                                                                                             
  13 GTMIN  1350.00  9 2021 12 2021                                                                                                                                                                     
  13 GTMIN  1202.49  1 2022                                                                                                                                                                             
  13 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
 211 POTEF   530.00  9 2021          BAIXADA FLU                                                                                                                                                        
 211 FCMAX   100.00  9 2021                                                                                                                                                                     
 211 IPTER     0.00  1 2022  4 2022                                                                                                                                                                     
 211 IPTER    29.43  5 2022  5 2022                                                                                                                                                                     
 211 IPTER     0.00  6 2022 12 2022                                                                                                                                                                     
 211 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
  97 POTEF   216.00  9 2021          CUBATAO                                                                                                                                                            
  97 FCMAX    44.52  9 2021  9 2021                                                                                                                                                                     
  97 GTMIN    86.40  9 2021                                                                                                                                                                             
  97 FCMAX    96.76 10 2021 10 2021                                                                                                                                                                     
  97 FCMAX    82.41 11 2021 11 2021                                                                                                                                                                     
  97 FCMAX    78.70 12 2021 12 2021                                                                                                                                                                     
  97 FCMAX   100.00  1 2022                                                                                                                                                                             
  97 IPTER    23.09  1 2022  1 2022                                                                                                                                                                     
  97 IPTER     4.12  2 2022  2 2022                                                                                                                                                                     
  97 IPTER     0.00  3 2022 12 2022                                                                                                                                                                     
  97 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
  12 POTEF   529.20  9 2021          CUIABA G CC                                                                                                                                                        
  12 FCMAX    92.59  9 2021 10 2021                                                                                                                                                                     
  12 FCMAX    91.08 11 2021 12 2021                                                                                                                                                                     
  12 FCMAX     0.00  1 2022                                                                                                                                                                             
  12 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
 153 POTEF    44.44  9 2021          DAIA                                                                                                                                                               
 153 FCMAX     0.00  9 2021                                                                                                                                                                             
  65 POTEF   254.80  9 2021          DO ATLAN_CSA                                                                                                                                                       
  65 FCMAX    66.61  9 2021  9 2021                                                                                                                                                                     
  65 GTMIN   169.71  9 2021  9 2021                                                                                                                                                                     
  65 FCMAX    66.67 10 2021 10 2021                                                                                                                                                                     
  65 GTMIN   169.88 10 2021 10 2021                                                                                                                                                                     
  65 FCMAX    31.33 11 2021 11 2021                                                                                                                                                                     
  65 GTMIN    79.83 11 2021 11 2021                                                                                                                                                                     
  65 FCMAX    67.56 12 2021 12 2021                                                                                                                                                                     
  65 GTMIN   172.14 12 2021 12 2021                                                                                                                                                                     
  65 FCMAX    93.00  1 2022                                                                                                                                                                             
  65 IPTER    25.81  1 2022  1 2022                                                                                                                                                                     
  65 GTMIN   175.16  1 2022  1 2022                                                                                                                                                                     
  65 IPTER    17.86  2 2022  2 2022                                                                                                                                                                     
  65 GTMIN   193.93  2 2022  2 2022                                                                                                                                                                     
  65 IPTER     0.00  3 2022  3 2022                                                                                                                                                                     
  65 GTMIN   236.10  3 2022  3 2022                                                                                                                                                                     
  65 IPTER     6.67  4 2022  4 2022                                                                                                                                                                     
  65 GTMIN   220.35  4 2022  4 2022                                                                                                                                                                     
  65 IPTER     0.00  5 2022  5 2022                                                                                                                                                                     
  65 GTMIN   236.10  5 2022  5 2022                                                                                                                                                                     
  65 IPTER     6.67  6 2022  6 2022                                                                                                                                                                     
  65 GTMIN   220.35  6 2022  6 2022                                                                                                                                                                     
  65 IPTER     0.00  7 2022 11 2022                                                                                                                                                                     
  65 GTMIN   236.10  7 2022 11 2022                                                                                                                                                                     
  65 IPTER     6.45 12 2022  1 2023                                                                                                                                                                     
  65 GTMIN   220.87 12 2022  1 2023                                                                                                                                                                     
  65 IPTER     0.00  2 2023  7 2023                                                                                                                                                                     
  65 GTMIN   236.10  2 2023  7 2023                                                                                                                                                                     
  65 IPTER     9.68  8 2023  8 2023                                                                                                                                                                     
  65 GTMIN   213.25  8 2023  8 2023                                                                                                                                                                     
  65 IPTER     0.00  9 2023  1 2024                                                                                                                                                                     
  65 GTMIN   236.10  9 2023  1 2024                                                                                                                                                                     
  65 IPTER    62.07  2 2024  2 2024                                                                                                                                                                     
  65 GTMIN    89.55  2 2024  2 2024                                                                                                                                                                     
  65 IPTER     9.68  3 2024  3 2024                                                                                                                                                                     
  65 GTMIN   213.25  3 2024  3 2024                                                                                                                                                                     
  65 IPTER    20.00  4 2024  4 2024                                                                                                                                                                     
  65 GTMIN   188.88  4 2024  4 2024                                                                                                                                                                     
  65 IPTER    22.58  5 2024  5 2024                                                                                                                                                                     
  65 GTMIN   182.79  5 2024  5 2024                                                                                                                                                                     
  65 IPTER     0.00  6 2024  9 2024                                                                                                                                                                     
  65 GTMIN   236.10  6 2024  9 2024                                                                                                                                                                     
  65 IPTER     6.45 10 2024 10 2024                                                                                                                                                                     
  65 GTMIN   220.87 10 2024 10 2024                                                                                                                                                                     
  65 IPTER     0.00 11 2024 11 2024                                                                                                                                                                     
  65 GTMIN   236.10 11 2024 11 2024                                                                                                                                                                     
  65 IPTER     6.45 12 2024 12 2024                                                                                                                                                                     
  65 GTMIN   220.87 12 2024 12 2024                                                                                                                                                                     
  65 IPTER     0.00  1 2025  5 2025                                                                                                                                                                     
  65 GTMIN   236.10  1 2025  5 2025                                                                                                                                                                     
  65 IPTER     6.67  6 2025  6 2025                                                                                                                                                                     
  65 GTMIN   220.35  6 2025  6 2025                                                                                                                                                                     
  65 IPTER     0.00  7 2025  7 2025                                                                                                                                                                     
  65 GTMIN   236.10  7 2025  7 2025                                                                                                                                                                     
  65 IPTER     6.45  8 2025  8 2025                                                                                                                                                                     
  65 GTMIN   220.87  8 2025  8 2025                                                                                                                                                                     
  65 IPTER     0.00  9 2025                                                                                                                                                                             
  65 GTMIN   236.10  9 2025                                                                                                                                                                             
  65 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
 183 POTEF   235.20  9 2021          DO ATLANTICO                                                                                                                                                       
 183 FCMAX    92.98  9 2021 10 2021                                                                                                                                                                     
 183 GTMIN   201.50  9 2021                                                                                                                                                                             
 183 FCMAX    93.00 11 2021                                                                                                                                                                             
 183 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                                                                                                                                                                                   
 137 POTEF  1338.30 11 2021          GNA I                                                                                                                                                              
 238 POTEF  1672.60 11 2024          GNA P. ACU 3                                                                                                                                                       
 238 GTMIN  1278.58 11 2024 11 2024                                                                                                                                                                     
 238 GTMIN  1598.16  7 2025 10 2025                                                                                                                                                                     
 238 GTMIN  1278.58 11 2025 11 2025                                                                                                                                                                     
 155 POTEF   140.33  9 2021          GOIANIA II                                                                                                                                                         
 155 FCMAX     0.00  9 2021  9 2021                                                                                                                                                                     
