UH   ME ANO   P  MWmedio
XXX  XX XXXX  X  XXXX.X
275   9 2021  0  1457.
275  10 2021  0  1374.
275  11 2021  0  1300.
275  12 2021  0  1400.
275   2 2022  0  1600.
275   8 2022  0  1500.
275   9 2022  0  1400.
275  10 2022  0  1300.
275  12 2022  0  1400.
275   2 2023  0  1600.
275   8 2023  0  1500.
275   9 2023  0  1400.
275  10 2023  0  1300.
275  12 2023  0  1400.
275   2 2024  0  1600.
275   8 2024  0  1500.
275   9 2024  0  1400.
275  10 2024  0  1300.
275  12 2024  0  1400.
275   2 2025  0  1600.
275   8 2025  0  1500.
275   9 2025  0  1400.
275  10 2025  0  1300.
275  12 2025  0  1400.
275   2 POS   0  1600.
275   8 POS   0  1500.
275   9 POS   0  1400.
275  10 POS   0  1300.
275  12 POS   0  1400.
 66  09 2021  0  4492.
 66  10 2021  0  4526.
 66  11 2021  0  4500.
 66  12 2021  0  4500.
 66  01 2022  0  5113.
 66  02 2022  0  5000.
 66  03 2022  0  4500.
 66  04 2022  0  4500.
 66  05 2022  0  4518.
 66  06 2022  0  4500.
 66  07 2022  0  4500.
 66  08 2022  0  4500.
 66  09 2022  0  4500.
 66  10 2022  0  4500.
 66  11 2022  0  4500.
 66  12 2022  0  4500.
 66  01 2023  0  5000.
 66  02 2023  0  5051.
 66  03 2023  0  4574.
 66  04 2023  0  4500.
 66  05 2023  0  4500.
 66  06 2023  0  4500.
 66  07 2023  0  4500.
 66  08 2023  0  4500.
 66  09 2023  0  4500.
 66  10 2023  0  4500.
 66  11 2023  0  4500.
 66  12 2023  0  4500.
 66  01 2024  0  5059.
 66  02 2024  0  5087.
 66  03 2024  0  4982.
 66  04 2024  0  4500.
 66  05 2024  0  4500.
 66  06 2024  0  4500.
 66  07 2024  0  4500.
 66  08 2024  0  4500.
 66  09 2024  0  4500.
 66  10 2024  0  4509.
 66  11 2024  0  4572.
 66  12 2024  0  4557.
 66  01 2025  0  5191.
 66  02 2025  0  5320.
 66  03 2025  0  5095.
 66  04 2025  0  4500.
 66  05 2025  0  4500.
 66  06 2025  0  4500.
 66  07 2025  0  4500.
 66  08 2025  0  4500.
 66  09 2025  0  4505.
 66  10 2025  0  4613.
 66  11 2025  0  4980.
 66  12 2025  0  4964.
 66  01 POS   0  5191.
 66  02 POS   0  5320.
 66  03 POS   0  5095.
 66  04 POS   0  4500.
 66  05 POS   0  4500.
 66  06 POS   0  4500.
 66  07 POS   0  4500.
 66  08 POS   0  4500.
 66  09 POS   0  4505.
 66  10 POS   0  4613.
 66  11 POS   0  4980.
 66  12 POS   0  4964.
999
