 NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
   1 ANGRA 1        640. 100.    2.79  10.33   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 640.00 640.00 640.00 640.00 557.87  
  13 ANGRA 2       1350. 100.    1.15   9.89   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 1350.0 1350.0 1350.0 1350.0 1202.4  
 211 BAIXADA FLU    530. 100.   12.75   8.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  97 CUBATAO        216. 100.    5.92   7.26   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  86.40  86.40  86.40  86.40  86.40  
  12 CUIABA G CC    529. 100.    9.66  22.25   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 153 DAIA            44. 100.    5.10  16.56   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  65 DO ATLAN_CSA   255.  93.    0.36   2.43   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 169.71 169.88  79.83 172.14 225.28  
 183 DO ATLANTICO   235.  93.    0.36   2.43   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 201.50 201.50 201.50 201.50 201.50  
 137 GNA I            0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 238 GNA P. ACU 3     0. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 155 GOIANIA II     140. 100.   13.35  30.25   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  63 IBIRITE        226. 100.    5.36  12.96   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  54 JUIZ DE FORA    87. 100.    6.26   3.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  15 LINHARES       204. 100.    2.19   1.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 236 MARLIM AZUL      0. 100.    5.00   5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 110 N.PIRATINING   572.  97.   10.73  17.13   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 171 NORTEFLU-1     400. 100.    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 278.46 400.00 400.00 400.00 400.00  
 172 NORTEFLU-2     100. 100.    4.10   9.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 173 NORTEFLU-3     200. 100.    4.10   9.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 174 NORTEFLU-4     127. 100.    4.10   9.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 229 ONCA PINTADA    50.  95.    3.19   5.48   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   6.86   6.86   6.86   6.86   6.86  
 182 PALMEIRAS GO   176.  80.   68.23   9.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  50 PIRAT.12 G     200. 100.    6.57  12.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 230 PREDILECTA       5. 100.    0.37   5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   1.00   1.00   1.00   1.00   1.00  
   9 R.SILVEIRA      25. 100.   16.56  21.83   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  62 SEROPEDICA     386. 100.   23.72   7.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  97.84  97.22 105.38   2.05  
   4 ST.CRUZ 34     436.  92.   24.25  18.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  86 ST.CRUZ NOVA   500. 100.    7.33   6.90   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 146 STA VITORIA     41.  93.    1.49  16.64   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
 194 T.NORTE 2      340.  94.    0.00   0.51   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  90 TERMOMACAE     929. 100.   10.83   5.74   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  47 TERMORIO      1036. 100.   14.41   4.51   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 100.50 146.76 145.83 158.07 102.14  
  68 TRES LAGOAS    350. 100.   13.82   4.81   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
  49 VIANA          175. 100.    2.42   0.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  
